permit,year,annual_avg
AA1972G009,1979,3407538
AA1972G009,1980,3276495
AA1972G009,1981,2375454
AA1972G009,1982,2469227
AA1972G009,1983,2750891
AA1972G009,1984,3615416
AA1972G009,1985,3682357
AA1972G009,1986,1847592
AA1972G009,1987,1321845
AA1972G009,1988,1698058
AA1972G009,1989,2430745
AA1972G009,1990,1362032
AA1972G009,1991,1867538
AA1972G009,1992,1620671
AA1972G009,1993,1707914
AA1972G009,1994,1848273
AA1972G009,1995,2140220
AA1972G009,1996,1613671
AA1972G009,1997,1725038
AA1972G009,1998,1785204
AA1972G009,1999,1843435
AA1972G009,2000,1721301
AA1972G009,2001,2486030
AA1972G009,2002,2435969
AA1972G009,2003,1340454
AA1972G009,2004,1326241
AA1972G009,2005,1265680
AA1972G009,2006,1213429
AA1972G009,2007,1438542
AA1972G009,2008,1001676
AA1972G009,2009,1345505
AA1972G009,2010,1008379
AA1972G009,2011,1323614
AA1972G009,2012,1193521
AA1972G009,2013,1339888
AA1972G009,2014,1383380
AA1972G009,2015,1329874
AA1972G009,2016,1318519
AA1972G009,2017,1411315
AA1972G009,2018,1566142
AA1972G009,2019,1495896
AA1972G009,2020,1379281
AA1972G009,2021,1423426
AA1972G009,2022,658778
AA1972G309,2003,178839
AA1972G309,2004,588752
AA1972G309,2005,680859
AA1972G309,2006,909185
AA1972G309,2007,1272665
AA1972G309,2008,1614175
AA1972G309,2009,2596177
AA1972G309,2010,2191446
AA1972G309,2011,1483019
AA1972G309,2012,1432763
AA1972G309,2013,1108912
AA1972G309,2014,1096066
AA1972G309,2015,1006087
AA1972G309,2016,1309791
AA1972G309,2017,1172038
AA1972G309,2018,1012934
AA1972G309,2019,1062993
AA1972G309,2020,1140715
AA1972G309,2021,1190032
AA1972G309,2022,471104
AA1972G209,1979,679910
AA1972G209,1980,818496
AA1972G209,1981,1734518
AA1972G209,1982,1983386
AA1972G209,1983,1445878
AA1972G209,1984,703414
AA1972G209,1985,685753
AA1972G209,1986,2778722
AA1972G209,1987,3335902
AA1972G209,1988,3077152
AA1972G209,1989,1946325
AA1972G209,1990,3008397
AA1972G209,1991,2519012
AA1972G209,1992,2591565
AA1972G209,1993,2722706
AA1972G209,1994,2541567
AA1972G209,1995,2377288
AA1972G209,1996,2638688
AA1972G209,1997,2695653
AA1972G209,1998,2933406
AA1972G209,1999,2620838
AA1972G209,2000,2471062
AA1972G209,2001,1887978
AA1972G209,2002,1999358
AA1972G209,2003,2702767
AA1972G209,2004,2404015
AA1972G209,2005,2707398
AA1972G209,2006,2642116
AA1972G209,2007,1816061
AA1972G209,2008,1393350
AA1972G209,2009,0
AA1972G209,2010,896914
AA1972G209,2011,989307
AA1972G209,2012,1172710
AA1972G209,2013,1169459
AA1972G209,2014,1245699
AA1972G209,2015,1181705
AA1972G209,2016,881425
AA1972G209,2017,847310
AA1972G209,2018,824276
AA1972G209,2019,946134
AA1972G209,2020,1214756
AA1972G209,2021,1140393
AA1972G209,2022,1610922
