date,WL_above_MSL,datum 
1955-10-10,-50,NGVD29
1955-10-10,-50.83,NAVD88
1955-10-10,,
1988-03-07,-71.02,NGVD29
1988-03-07,-71.85,NAVD88
1988-03-07,,
1988-03-31,-69.83,NGVD29
1988-03-31,-70.66,NAVD88
1988-03-31,,
1988-04-30,-70.39,NGVD29
1988-04-30,-71.22,NAVD88
1988-04-30,,
1988-05-11,-71.7,NGVD29
1988-05-11,-72.53,NAVD88
1988-05-11,,
1988-05-19,-72.23,NGVD29
1988-05-19,-73.06,NAVD88
1988-05-19,,
1988-05-26,-72.93,NGVD29
1988-05-26,-73.76,NAVD88
1988-05-26,,
1988-07-11,-80.26,NGVD29
1988-07-11,-81.09,NAVD88
1988-07-11,,
1988-08-05,-79.46,NGVD29
1988-08-05,-80.29,NAVD88
1988-08-05,,
1988-08-17,-80.48,NGVD29
1988-08-17,-81.31,NAVD88
1988-08-17,,
1988-10-05,-78.77,NGVD29
1988-10-05,-79.6,NAVD88
1988-10-05,,
1988-11-02,-77.9,NGVD29
1988-11-02,-78.73,NAVD88
1988-11-02,,
1988-12-02,-78.96,NGVD29
1988-12-02,-79.79,NAVD88
1988-12-02,,
1988-12-29,-79.22,NGVD29
1988-12-29,-80.05,NAVD88
1988-12-29,,
1989-02-15,-80.02,NGVD29
1989-02-15,-80.85,NAVD88
1989-02-15,,
1989-04-07,-81.44,NGVD29
1989-04-07,-82.27,NAVD88
1989-04-07,,
1989-05-10,-82.12,NGVD29
1989-05-10,-82.95,NAVD88
1989-05-10,,
1989-06-22,-85.04,NGVD29
1989-06-22,-85.87,NAVD88
1989-06-22,,
1989-08-03,-83.65,NGVD29
1989-08-03,-84.48,NAVD88
1989-08-03,,
1989-10-03,-85.3,NGVD29
1989-10-03,-86.13,NAVD88
1989-10-03,,
1989-11-08,-85.94,NGVD29
1989-11-08,-86.77,NAVD88
1989-11-08,,
1990-01-05,-88.36,NGVD29
1990-01-05,-89.19,NAVD88
1990-01-05,,
1990-03-16,-85.72,NGVD29
1990-03-16,-86.55,NAVD88
1990-03-16,,
1990-04-11,-85.35,NGVD29
1990-04-11,-86.18,NAVD88
1990-04-11,,
1990-07-10,-87.84,NGVD29
1990-07-10,-88.67,NAVD88
1990-07-10,,
1990-09-28,-88.04,NGVD29
1990-09-28,-88.87,NAVD88
1990-09-28,,
1990-10-01,-88.35,NGVD29
1990-10-01,-89.18,NAVD88
1990-10-01,,
1990-11-29,-87.12,NGVD29
1990-11-29,-87.95,NAVD88
1990-11-29,,
1991-01-15,-86.63,NGVD29
1991-01-15,-87.46,NAVD88
1991-01-15,,
1991-04-05,-86.23,NGVD29
1991-04-05,-87.06,NAVD88
1991-04-05,,
1991-05-22,-86.8,NGVD29
1991-05-22,-87.63,NAVD88
1991-05-22,,
1991-09-13,-91.53,NGVD29
1991-09-13,-92.36,NAVD88
1991-09-13,,
1991-10-01,-91.46,NGVD29
1991-10-01,-92.29,NAVD88
1991-10-01,,
1991-11-20,-91.59,NGVD29
1991-11-20,-92.42,NAVD88
1991-11-20,,
1992-02-12,-91.39,NGVD29
1992-02-12,-92.22,NAVD88
1992-02-12,,
1992-04-30,-92.88,NGVD29
1992-04-30,-93.71,NAVD88
1992-04-30,,
1992-06-26,-93.96,NGVD29
1992-06-26,-94.79,NAVD88
1992-06-26,,
1992-10-01,-94.12,NGVD29
1992-10-01,-94.95,NAVD88
1992-10-01,,
1993-01-07,-93.65,NGVD29
1993-01-07,-94.48,NAVD88
1993-01-07,,
1993-03-03,-90.78,NGVD29
1993-03-03,-91.61,NAVD88
1993-03-03,,
1993-04-13,-92.43,NGVD29
1993-04-13,-93.26,NAVD88
1993-04-13,,
1993-04-22,-93.16,NGVD29
1993-04-22,-93.99,NAVD88
1993-04-22,,
1993-05-18,-93.72,NGVD29
1993-05-18,-94.55,NAVD88
1993-05-18,,
1993-06-29,-96.32,NGVD29
1993-06-29,-97.15,NAVD88
1993-06-29,,
1993-07-01,-96.64,NGVD29
