permit,year,annual_total,annual_avg
AA1953G008,1979,242265660,663742
AA1968G006,1979,97026000,265825
AA1969G019,1979,3789501000,10382195
AA1972G005,1979,405439000,1110792
AA1953G008,1980,1354369550,3700463
AA1968G006,1980,137128000,374667
AA1969G019,1980,3748050818,10240576
AA1972G005,1980,479595000,1310369
AA1953G008,1981,356059095,975504
AA1968G006,1981,149524400,409656
AA1969G019,1981,5040585702,13809824
AA1972G005,1981,455412100,1247704
AA1953G008,1982,840085444,2301604
AA1968G006,1982,133467800,365665
AA1969G019,1982,3398119402,9309916
AA1972G005,1982,637973324,1747872
AA1953G008,1983,1264497500,3464377
AA1968G006,1983,148808696,407695
AA1969G019,1983,1638307960,4488515
AA1972G005,1983,633193310,1734776
AA1982G036,1983,604294700,1655602
AA1982G037,1983,676842100,1854362
AA1982G039,1983,286348000,784515
AA1982G044,1983,298774600,818561
AA1953G008,1984,1236261200,3377763
AA1968G006,1984,200777000,548571
AA1969G019,1984,966929200,2641883
AA1972G005,1984,586932400,1603640
AA1981G025,1984,12209400,33359
AA1982G036,1984,543525300,1485042
AA1982G037,1984,473615500,1294031
AA1982G039,1984,228269000,623686
AA1982G044,1984,297770000,813579
AA1953G008,1985,1280064000,3507025
AA1968G006,1985,300942000,824499
AA1969G019,1985,1170444900,3206698
AA1972G005,1985,683538900,1872709
AA1981G025,1985,60744500,166423
AA1981G026,1985,274277100,751444
AA1982G036,1985,678560800,1859071
AA1982G037,1985,430103700,1178366
AA1982G039,1985,202067000,553608
AA1982G044,1985,332727000,911581
AA1953G008,1986,1237321000,3389921
AA1968G006,1986,316928000,868296
AA1969G019,1986,931495000,2552041
AA1972G005,1986,727678040,1993638
AA1981G025,1986,243263000,666474
AA1981G026,1986,352693000,966282
AA1982G036,1986,778674300,2133354
AA1982G037,1986,623782000,1708992
AA1982G039,1986,210411000,576468
AA1982G044,1986,263448000,721775
AA1953G008,1987,1006632000,2757896
AA1968G006,1987,301398800,825750
AA1969G019,1987,975672800,2673076
AA1972G005,1987,750416500,2055936
AA1981G025,1987,260222000,712937
AA1981G026,1987,323106000,885222
AA1982G036,1987,765527000,2097334
AA1982G037,1987,698229000,1912956
AA1982G039,1987,237625000,651027
AA1982G044,1987,310037000,849416
AA1986G070,1987,0,0
AA1953G008,1988,1033018300,2822454
AA1968G006,1988,380480960,1039565
AA1969G019,1988,888801000,2428418
AA1972G005,1988,958062000,2617656
AA1981G025,1988,210400000,574863
AA1981G026,1988,292827000,800074
AA1982G036,1988,766539500,2094370
AA1982G037,1988,453514000,1239109
AA1982G039,1988,219383000,599407
AA1982G044,1988,270431000,738883
AA1986G070,1988,0,0
AA1953G008,1989,936785200,2566535
AA1968G006,1989,391343400,1072174
AA1969G019,1989,577721000,1582797
AA1972G005,1989,948515000,2598671
AA1981G025,1989,192479000,527340
AA1981G026,1989,310807000,851526
AA1982G036,1989,698650410,1914111
AA1982G037,1989,308257000,844540
AA1982G039,1989,242612000,664690
AA1982G044,1989,285787000,782978
AA1986G070,1989,0,0
AA1953G008,1990,1562866700,4281827
AA1968G006,1990,418463480,1146475
AA1969G019,1990,876153000,2400419
AA1972G005,1990,992131400,2718168
AA1981G025,1990,213414000,584696
AA1981G026,1990,291121000,797592
AA1982G036,1990,630276220,1726784
AA1982G037,1990,462503000,1267132
AA1982G039,1990,254352000,696855
AA1982G044,1990,324077000,887882
AA1986G070,1990,0,0
AA1953G008,1991,1584401500,4340826
AA1968G006,1991,477853480,1309188
AA1969G019,1991,1119224000,3066367
AA1972G005,1991,1055286000,2891195
AA1981G025,1991,200215000,548534
AA1981G026,1991,310590000,850932
AA1982G036,1991,693195500,1899166
AA1982G037,1991,313268000,858268
AA1982G039,1991,219486000,601332
AA1982G044,1991,272060000,745370
AA1986G070,1991,0,0
AA1953G008,1992,1422868000,3887617
AA1968G006,1992,477359000,1304260
AA1969G019,1992,934136000,2552284
AA1972G005,1992,1211445000,3309959
AA1981G025,1992,224589000,613631
AA1981G026,1992,318761000,870932
AA1982G036,1992,453005000,1237719
AA1982G037,1992,448817000,1226276
AA1982G039,1992,175178000,478628
AA1982G044,1992,242281000,661970
AA1986G070,1992,0,0
AA1987G069,1992,395992000,1081945
AA1953G008,1993,1601115000,4386616
AA1953G108,1993,68380000,187342
AA1968G006,1993,533886000,1462701
AA1969G019,1993,858568000,2352241
AA1972G005,1993,1175710000,3221123
AA1981G025,1993,221067000,605663
AA1981G026,1993,305772000,837732
AA1982G036,1993,139066000,381003
AA1982G037,1993,577596000,1582455
AA1982G039,1993,303675000,831986
AA1982G044,1993,236900000,649041
AA1986G070,1993,0,0
AA1987G069,1993,794828000,2177611
AA1953G008,1994,1649248000,4518488
AA1953G108,1994,89342000,244773
AA1968G006,1994,589693000,1615597
AA1969G019,1994,908243000,2488337
AA1972G005,1994,787935000,2158726
AA1972G105,1994,444485000,1217767
AA1981G025,1994,232567000,637170
AA1981G026,1994,333259000,913038
AA1982G036,1994,203937000,558732
AA1982G037,1994,482084000,1320778
AA1982G039,1994,282790000,774767
AA1982G044,1994,222604000,609874
AA1986G070,1994,0,0
AA1987G069,1994,753253000,2063707
AA1953G008,1995,2059277000,5641855
AA1953G108,1995,123711000,338934
AA1968G006,1995,639916000,1753195
AA1969G019,1995,985203000,2699186
AA1972G005,1995,424329000,1162545
AA1972G105,1995,851085000,2331740
AA1981G025,1995,189990000,520521
AA1981G026,1995,317145000,868890
AA1982G036,1995,214993000,589022
AA1982G037,1995,797649000,2185340
AA1982G039,1995,258135000,707219
AA1982G044,1995,252744000,692449
AA1986G070,1995,10253000,28090
AA1987G069,1995,824776000,2259660
AA1953G008,1996,2279977000,6229445
AA1953G108,1996,108204000,295639
AA1968G006,1996,543927000,1486139
AA1969G019,1996,1079330000,2948989
AA1972G005,1996,459983000,1256784
AA1972G105,1996,893381000,2440932
AA1981G025,1996,162316000,443486
AA1981G026,1996,318891000,871287
AA1982G036,1996,131961000,360549
AA1982G037,1996,729254000,1992497
AA1982G039,1996,215152000,587847
AA1982G044,1996,227284000,620995
AA1986G070,1996,76666000,209470
AA1987G069,1996,830645000,2269522
AA1953G008,1997,2285644000,6262038
AA1953G108,1997,87944000,240942
AA1968G006,1997,692187000,1896403
AA1969G019,1997,1244242000,3408882
AA1972G005,1997,530983000,1454748
AA1972G105,1997,900778000,2467885
AA1981G025,1997,183021000,501427
AA1981G026,1997,286221000,784167
AA1982G036,1997,155694000,426559
AA1982G037,1997,648225000,1775959
AA1982G039,1997,237229000,649942
AA1982G044,1997,246459000,675230
AA1986G070,1997,1353000,3707
AA1987G069,1997,864134000,2367490
AA1953G008,1998,2303638000,6311337
AA1953G108,1998,105930000,290219
AA1968G006,1998,281289000,770655
AA1969G019,1998,1245561000,3412496
AA1972G005,1998,599947000,1643690
AA1972G105,1998,964099000,2641367
AA1981G025,1998,198711000,544414
AA1981G026,1998,326453000,894392
AA1982G036,1998,330481000,905427
AA1982G037,1998,777684000,2130641
AA1982G039,1998,226615000,620863
AA1982G044,1998,187369000,513340
AA1986G070,1998,490301000,1343290
AA1987G069,1998,718020000,1967178
AA1953G008,1999,2368551000,6489181
AA1953G108,1999,105757000,289745
AA1968G006,1999,191401000,524386
AA1969G019,1999,1029290000,2819973
AA1972G005,1999,567267000,1554156
AA1972G105,1999,983446000,2694373
AA1981G025,1999,261201000,715619
AA1981G026,1999,322584000,883792
